lat       lon
41.39196  -82.48241
41.39196  -82.46624
41.39196  -82.45007
41.40413  -82.51475
41.40413  -82.49858
41.40413  -82.48241
41.40413  -82.46624
41.40413  -82.45007
41.40413  -82.4339
41.40413  -82.41773
41.4163   -82.54708
41.4163   -82.53092
41.4163   -82.51475
41.4163   -82.49858
41.4163   -82.48241
41.4163   -82.46624
41.4163   -82.45007
41.4163   -82.4339
41.4163   -82.41773
41.4163   -82.40156
41.4163   -82.38539
41.42846  -82.91899
41.42846  -82.57942
41.42846  -82.56325
41.42846  -82.54708
41.42846  -82.53092
41.42846  -82.51475
41.42846  -82.49858
41.42846  -82.48241
41.42846  -82.46624
41.42846  -82.45007
41.42846  -82.4339
41.42846  -82.41773
41.42846  -82.40156
41.42846  -82.38539
41.42846  -82.36922
41.42846  -82.35305
41.42846  -82.33688
41.42846  -82.32071
41.44063  -82.98367
41.44063  -82.95133
41.44063  -82.93516
41.44063  -82.91899
41.44063  -82.90282
41.44063  -82.88665
41.44063  -82.59559
41.44063  -82.57942
41.44063  -82.56325
41.44063  -82.54708
41.44063  -82.53092
41.44063  -82.51475
41.44063  -82.49858
41.44063  -82.48241
41.44063  -82.46624
41.44063  -82.45007
41.44063  -82.4339
41.44063  -82.41773
41.44063  -82.40156
41.44063  -82.38539
41.44063  -82.36922
41.44063  -82.35305
41.44063  -82.33688
41.44063  -82.32071
41.44063  -82.30454
41.44063  -82.28837
41.44063  -82.2722
41.44063  -82.25603
41.45279  -82.95133
41.45279  -82.93516
41.45279  -82.91899
41.45279  -82.90282
41.45279  -82.88665
41.45279  -82.87048
41.45279  -82.85431
41.45279  -82.75729
41.45279  -82.74112
41.45279  -82.72495
41.45279  -82.67644
41.45279  -82.61176
41.45279  -82.59559
41.45279  -82.57942
41.45279  -82.56325
41.45279  -82.54708
41.45279  -82.53092
41.45279  -82.51475
41.45279  -82.49858
41.45279  -82.48241
41.45279  -82.46624
41.45279  -82.45007
41.45279  -82.4339
41.45279  -82.41773
41.45279  -82.40156
41.45279  -82.38539
41.45279  -82.36922
41.45279  -82.35305
41.45279  -82.33688
41.45279  -82.32071
41.45279  -82.30454
41.45279  -82.28837
41.45279  -82.2722
41.45279  -82.25603
41.45279  -82.23986
41.45279  -82.22369
41.46495  -82.93516
41.46495  -82.91899
41.46495  -82.90282
41.46495  -82.88665
41.46495  -82.87048
41.46495  -82.85431
41.46495  -82.83814
41.46495  -82.82197
41.46495  -82.78963
41.46495  -82.77346
41.46495  -82.75729
41.46495  -82.74112
41.46495  -82.72495
41.46495  -82.70878
41.46495  -82.69261
41.46495  -82.67644
41.46495  -82.6441
41.46495  -82.62793
41.46495  -82.61176
41.46495  -82.59559
41.46495  -82.57942
41.46495  -82.56325
41.46495  -82.54708
41.46495  -82.53092
41.46495  -82.51475
41.46495  -82.49858
41.46495  -82.48241
41.46495  -82.46624
41.46495  -82.45007
41.46495  -82.4339
41.46495  -82.41773
41.46495  -82.40156
41.46495  -82.38539
41.46495  -82.36922
41.46495  -82.35305
41.46495  -82.33688
41.46495  -82.32071
41.46495  -82.30454
41.46495  -82.28837
41.46495  -82.2722
41.46495  -82.25603
41.46495  -82.23986
41.46495  -82.22369
41.46495  -82.20752
41.4771   -82.90282
41.4771   -82.88665
41.4771   -82.87048
41.4771   -82.85431
41.4771   -82.8058
41.4771   -82.78963
41.4771   -82.77346
41.4771   -82.75729
41.4771   -82.74112
41.4771   -82.72495
41.4771   -82.70878
41.4771   -82.69261
41.4771   -82.66027
41.4771   -82.6441
41.4771   -82.62793
41.4771   -82.61176
41.4771   -82.59559
41.4771   -82.57942
41.4771   -82.56325
41.4771   -82.54708
41.4771   -82.53092
41.4771   -82.51475
41.4771   -82.49858
41.4771   -82.48241
41.4771   -82.46624
41.4771   -82.45007
41.4771   -82.4339
41.4771   -82.41773
41.4771   -82.40156
41.4771   -82.38539
41.4771   -82.36922
41.4771   -82.35305
41.4771   -82.33688
41.4771   -82.32071
41.4771   -82.30454
41.4771   -82.28837
41.4771   -82.2722
41.4771   -82.25603
41.4771   -82.23986
41.4771   -82.22369
41.4771   -82.20752
41.4771   -82.19135
41.4771   -82.17518
41.4771   -81.88413
41.4771   -81.86796
41.48926  -82.78963
41.48926  -82.77346
41.48926  -82.75729
41.48926  -82.74112
41.48926  -82.72495
41.48926  -82.70878
41.48926  -82.69261
41.48926  -82.67644
41.48926  -82.66027
41.48926  -82.6441
41.48926  -82.62793
41.48926  -82.61176
41.48926  -82.59559
41.48926  -82.57942
41.48926  -82.56325
41.48926  -82.54708
41.48926  -82.53092
41.48926  -82.51475
41.48926  -82.49858
41.48926  -82.48241
41.48926  -82.46624
41.48926  -82.45007
41.48926  -82.4339
41.48926  -82.41773
41.48926  -82.40156
41.48926  -82.38539
41.48926  -82.36922
41.48926  -82.35305
41.48926  -82.33688
41.48926  -82.32071
41.48926  -82.30454
41.48926  -82.28837
41.48926  -82.2722
41.48926  -82.25603
41.48926  -82.23986
41.48926  -82.22369
41.48926  -82.20752
41.48926  -82.19135
41.48926  -82.17518
41.48926  -82.15901
41.48926  -82.14284
41.48926  -82.12667
41.48926  -81.91647
41.48926  -81.9003
41.48926  -81.88413
41.48926  -81.86796
41.48926  -81.85179
41.48926  -81.83562
41.50141  -82.69261
41.50141  -82.67644
41.50141  -82.66027
41.50141  -82.6441
41.50141  -82.62793
41.50141  -82.61176
41.50141  -82.59559
41.50141  -82.57942
41.50141  -82.56325
41.50141  -82.54708
41.50141  -82.53092
41.50141  -82.51475
41.50141  -82.49858
41.50141  -82.48241
41.50141  -82.46624
41.50141  -82.45007
41.50141  -82.4339
41.50141  -82.41773
41.50141  -82.40156
41.50141  -82.38539
41.50141  -82.36922
41.50141  -82.35305
41.50141  -82.33688
41.50141  -82.32071
41.50141  -82.30454
41.50141  -82.28837
41.50141  -82.2722
41.50141  -82.25603
41.50141  -82.23986
41.50141  -82.22369
41.50141  -82.20752
41.50141  -82.19135
41.50141  -82.17518
41.50141  -82.15901
41.50141  -82.14284
41.50141  -82.12667
41.50141  -82.1105
41.50141  -82.09433
41.50141  -82.07816
41.50141  -81.96498
41.50141  -81.94881
41.50141  -81.93264
41.50141  -81.91647
41.50141  -81.9003
41.50141  -81.88413
41.50141  -81.86796
41.50141  -81.85179
41.50141  -81.83562
41.50141  -81.81945
41.50141  -81.80328
41.50141  -81.78711
41.50141  -81.77094
41.50141  -81.75477
41.50141  -81.7386
41.50141  -81.72243
41.51356  -82.69261
41.51356  -82.67644
41.51356  -82.66027
41.51356  -82.6441
41.51356  -82.62793
41.51356  -82.61176
41.51356  -82.59559
41.51356  -82.57942
41.51356  -82.56325
41.51356  -82.54708
41.51356  -82.53092
41.51356  -82.51475
41.51356  -82.49858
41.51356  -82.48241
41.51356  -82.46624
41.51356  -82.45007
41.51356  -82.4339
41.51356  -82.41773
41.51356  -82.40156
41.51356  -82.38539
41.51356  -82.36922
41.51356  -82.35305
41.51356  -82.33688
41.51356  -82.32071
41.51356  -82.30454
41.51356  -82.28837
41.51356  -82.2722
41.51356  -82.25603
41.51356  -82.23986
41.51356  -82.22369
41.51356  -82.20752
41.51356  -82.19135
41.51356  -82.17518
41.51356  -82.15901
41.51356  -82.14284
41.51356  -82.12667
41.51356  -82.1105
41.51356  -82.09433
41.51356  -82.07816
41.51356  -82.06199
41.51356  -82.04582
41.51356  -82.02965
41.51356  -82.01348
41.51356  -81.99732
41.51356  -81.98115
41.51356  -81.96498
41.51356  -81.94881
41.51356  -81.93264
41.51356  -81.91647
41.51356  -81.9003
41.51356  -81.88413
41.51356  -81.86796
41.51356  -81.85179
41.51356  -81.83562
41.51356  -81.81945
41.51356  -81.80328
41.51356  -81.78711
41.51356  -81.77094
41.51356  -81.75477
41.51356  -81.7386
41.51356  -81.72243
41.51356  -81.70626
41.51356  -81.69009
41.52571  -82.95133
41.52571  -82.93516
41.52571  -82.91899
41.52571  -82.90282
41.52571  -82.88665
41.52571  -82.69261
41.52571  -82.67644
41.52571  -82.66027
41.52571  -82.6441
41.52571  -82.62793
41.52571  -82.61176
41.52571  -82.59559
41.52571  -82.57942
41.52571  -82.56325
41.52571  -82.54708
41.52571  -82.53092
41.52571  -82.51475
41.52571  -82.49858
41.52571  -82.48241
41.52571  -82.46624
41.52571  -82.45007
41.52571  -82.4339
41.52571  -82.41773
41.52571  -82.40156
41.52571  -82.38539
41.52571  -82.36922
41.52571  -82.35305
41.52571  -82.33688
41.52571  -82.32071
41.52571  -82.30454
41.52571  -82.28837
41.52571  -82.2722
41.52571  -82.25603
41.52571  -82.23986
41.52571  -82.22369
41.52571  -82.20752
41.52571  -82.19135
41.52571  -82.17518
41.52571  -82.15901
41.52571  -82.14284
41.52571  -82.12667
41.52571  -82.1105
41.52571  -82.09433
41.52571  -82.07816
41.52571  -82.06199
41.52571  -82.04582
41.52571  -82.02965
41.52571  -82.01348
41.52571  -81.99732
41.52571  -81.98115
41.52571  -81.96498
41.52571  -81.94881
41.52571  -81.93264
41.52571  -81.91647
41.52571  -81.9003
41.52571  -81.88413
41.52571  -81.86796
41.52571  -81.85179
41.52571  -81.83562
41.52571  -81.81945
41.52571  -81.80328
41.52571  -81.78711
41.52571  -81.77094
41.52571  -81.75477
41.52571  -81.7386
41.52571  -81.72243
41.52571  -81.70626
41.52571  -81.69009
41.52571  -81.67392
41.52571  -81.65775
41.53785  -82.98367
41.53785  -82.9675
41.53785  -82.95133
41.53785  -82.93516
41.53785  -82.91899
41.53785  -82.90282
41.53785  -82.88665
41.53785  -82.87048
41.53785  -82.78963
41.53785  -82.77346
41.53785  -82.75729
41.53785  -82.74112
41.53785  -82.72495
41.53785  -82.70878
41.53785  -82.69261
41.53785  -82.67644
41.53785  -82.66027
41.53785  -82.6441
41.53785  -82.62793
41.53785  -82.61176
41.53785  -82.59559
41.53785  -82.57942
41.53785  -82.56325
41.53785  -82.54708
41.53785  -82.53092
41.53785  -82.51475
41.53785  -82.49858
41.53785  -82.48241
41.53785  -82.46624
41.53785  -82.45007
41.53785  -82.4339
41.53785  -82.41773
41.53785  -82.40156
41.53785  -82.38539
41.53785  -82.36922
41.53785  -82.35305
41.53785  -82.33688
41.53785  -82.32071
41.53785  -82.30454
41.53785  -82.28837
41.53785  -82.2722
41.53785  -82.25603
41.53785  -82.23986
41.53785  -82.22369
41.53785  -82.20752
41.53785  -82.19135
41.53785  -82.17518
41.53785  -82.15901
41.53785  -82.14284
41.53785  -82.12667
41.53785  -82.1105
41.53785  -82.09433
41.53785  -82.07816
41.53785  -82.06199
41.53785  -82.04582
41.53785  -82.02965
41.53785  -82.01348
41.53785  -81.99732
41.53785  -81.98115
41.53785  -81.96498
41.53785  -81.94881
41.53785  -81.93264
41.53785  -81.91647
41.53785  -81.9003
41.53785  -81.88413
41.53785  -81.86796
41.53785  -81.85179
41.53785  -81.83562
41.53785  -81.81945
41.53785  -81.80328
41.53785  -81.78711
41.53785  -81.77094
41.53785  -81.75477
41.53785  -81.7386
41.53785  -81.72243
41.53785  -81.70626
41.53785  -81.69009
41.53785  -81.67392
41.53785  -81.65775
41.53785  -81.64158
41.55     -83.01601
41.55     -82.99984
41.55     -82.98367
41.55     -82.9675
41.55     -82.95133
41.55     -82.93516
41.55     -82.91899
41.55     -82.90282
41.55     -82.88665
41.55     -82.87048
41.55     -82.8058
41.55     -82.78963
41.55     -82.77346
41.55     -82.75729
41.55     -82.74112
41.55     -82.72495
41.55     -82.70878
41.55     -82.69261
41.55     -82.67644
41.55     -82.66027
41.55     -82.6441
41.55     -82.62793
41.55     -82.61176
41.55     -82.59559
41.55     -82.57942
41.55     -82.56325
41.55     -82.54708
41.55     -82.53092
41.55     -82.51475
41.55     -82.49858
41.55     -82.48241
41.55     -82.46624
41.55     -82.45007
41.55     -82.4339
41.55     -82.41773
41.55     -82.40156
41.55     -82.38539
41.55     -82.36922
41.55     -82.35305
41.55     -82.33688
41.55     -82.32071
41.55     -82.30454
41.55     -82.28837
41.55     -82.2722
41.55     -82.25603
41.55     -82.23986
41.55     -82.22369
41.55     -82.20752
41.55     -82.19135
41.55     -82.17518
41.55     -82.15901
41.55     -82.14284
41.55     -82.12667
41.55     -82.1105
41.55     -82.09433
41.55     -82.07816
41.55     -82.06199
41.55     -82.04582
41.55     -82.02965
41.55     -82.01348
41.55     -81.99732
41.55     -81.98115
41.55     -81.96498
41.55     -81.94881
41.55     -81.93264
41.55     -81.91647
41.55     -81.9003
41.55     -81.88413
41.55     -81.86796
41.55     -81.85179
41.55     -81.83562
41.55     -81.81945
41.55     -81.80328
41.55     -81.78711
41.55     -81.77094
41.55     -81.75477
41.55     -81.7386
41.55     -81.72243
41.55     -81.70626
41.55     -81.69009
41.55     -81.67392
41.55     -81.65775
41.55     -81.64158
41.55     -81.62541
41.55     -81.60924
41.56214  -83.03218
41.56214  -83.01601
41.56214  -82.99984
41.56214  -82.98367
41.56214  -82.9675
41.56214  -82.95133
41.56214  -82.93516
41.56214  -82.91899
41.56214  -82.90282
41.56214  -82.88665
41.56214  -82.87048
41.56214  -82.85431
41.56214  -82.8058
41.56214  -82.78963
41.56214  -82.77346
41.56214  -82.75729
41.56214  -82.74112
41.56214  -82.72495
41.56214  -82.70878
41.56214  -82.69261
41.56214  -82.67644
41.56214  -82.66027
41.56214  -82.6441
41.56214  -82.62793
41.56214  -82.61176
41.56214  -82.59559
41.56214  -82.57942
41.56214  -82.56325
41.56214  -82.54708
41.56214  -82.53092
41.56214  -82.51475
41.56214  -82.49858
41.56214  -82.48241
41.56214  -82.46624
41.56214  -82.45007
41.56214  -82.4339
41.56214  -82.41773
41.56214  -82.40156
41.56214  -82.38539
41.56214  -82.36922
41.56214  -82.35305
41.56214  -82.33688
41.56214  -82.32071
41.56214  -82.30454
41.56214  -82.28837
41.56214  -82.2722
41.56214  -82.25603
41.56214  -82.23986
41.56214  -82.22369
41.56214  -82.20752
41.56214  -82.19135
41.56214  -82.17518
41.56214  -82.15901
41.56214  -82.14284
41.56214  -82.12667
41.56214  -82.1105
41.56214  -82.09433
41.56214  -82.07816
41.56214  -82.06199
41.56214  -82.04582
41.56214  -82.02965
41.56214  -82.01348
41.56214  -81.99732
41.56214  -81.98115
41.56214  -81.96498
41.56214  -81.94881
41.56214  -81.93264
41.56214  -81.91647
41.56214  -81.9003
41.56214  -81.88413
41.56214  -81.86796
41.56214  -81.85179
41.56214  -81.83562
41.56214  -81.81945
41.56214  -81.80328
41.56214  -81.78711
41.56214  -81.77094
41.56214  -81.75477
41.56214  -81.7386
41.56214  -81.72243
41.56214  -81.70626
41.56214  -81.69009
41.56214  -81.67392
41.56214  -81.65775
41.56214  -81.64158
41.56214  -81.62541
41.56214  -81.60924
41.56214  -81.59307
41.56214  -81.5769
41.57428  -83.03218
41.57428  -83.01601
41.57428  -82.99984
41.57428  -82.98367
41.57428  -82.9675
41.57428  -82.95133
41.57428  -82.93516
41.57428  -82.91899
41.57428  -82.90282
41.57428  -82.88665
41.57428  -82.87048
41.57428  -82.85431
41.57428  -82.82197
41.57428  -82.8058
41.57428  -82.78963
41.57428  -82.77346
41.57428  -82.75729
41.57428  -82.74112
41.57428  -82.72495
41.57428  -82.70878
41.57428  -82.69261
41.57428  -82.67644
41.57428  -82.66027
41.57428  -82.6441
41.57428  -82.62793
41.57428  -82.61176
41.57428  -82.59559
41.57428  -82.57942
41.57428  -82.56325
41.57428  -82.54708
41.57428  -82.53092
41.57428  -82.51475
41.57428  -82.49858
41.57428  -82.48241
41.57428  -82.46624
41.57428  -82.45007
41.57428  -82.4339
41.57428  -82.41773
41.57428  -82.40156
41.57428  -82.38539
41.57428  -82.36922
41.57428  -82.35305
41.57428  -82.33688
41.57428  -82.32071
41.57428  -82.30454
41.57428  -82.28837
41.57428  -82.2722
41.57428  -82.25603
41.57428  -82.23986
41.57428  -82.22369
41.57428  -82.20752
41.57428  -82.19135
41.57428  -82.17518
41.57428  -82.15901
41.57428  -82.14284
41.57428  -82.12667
41.57428  -82.1105
41.57428  -82.09433
41.57428  -82.07816
41.57428  -82.06199
41.57428  -82.04582
41.57428  -82.02965
41.57428  -82.01348
41.57428  -81.99732
41.57428  -81.98115
41.57428  -81.96498
41.57428  -81.94881
41.57428  -81.93264
41.57428  -81.91647
41.57428  -81.9003
41.57428  -81.88413
41.57428  -81.86796
41.57428  -81.85179
41.57428  -81.83562
41.57428  -81.81945
41.57428  -81.80328
41.57428  -81.78711
41.57428  -81.77094
41.57428  -81.75477
41.57428  -81.7386
41.57428  -81.72243
41.57428  -81.70626
41.57428  -81.69009
41.57428  -81.67392
41.57428  -81.65775
41.57428  -81.64158
41.57428  -81.62541
41.57428  -81.60924
41.57428  -81.59307
41.57428  -81.5769
41.57428  -81.56073
41.58641  -83.04835
41.58641  -83.03218
41.58641  -83.01601
41.58641  -82.99984
41.58641  -82.98367
41.58641  -82.9675
41.58641  -82.95133
41.58641  -82.93516
41.58641  -82.91899
41.58641  -82.90282
41.58641  -82.88665
41.58641  -82.87048
41.58641  -82.85431
41.58641  -82.83814
41.58641  -82.82197
41.58641  -82.8058
41.58641  -82.78963
41.58641  -82.77346
41.58641  -82.75729
41.58641  -82.74112
41.58641  -82.72495
41.58641  -82.67644
41.58641  -82.66027
41.58641  -82.6441
41.58641  -82.62793
41.58641  -82.61176
41.58641  -82.59559
41.58641  -82.57942
41.58641  -82.56325
41.58641  -82.54708
41.58641  -82.53092
41.58641  -82.51475
41.58641  -82.49858
41.58641  -82.48241
41.58641  -82.46624
41.58641  -82.45007
41.58641  -82.4339
41.58641  -82.41773
41.58641  -82.40156
41.58641  -82.38539
41.58641  -82.36922
41.58641  -82.35305
41.58641  -82.33688
41.58641  -82.32071
41.58641  -82.30454
41.58641  -82.28837
41.58641  -82.2722
41.58641  -82.25603
41.58641  -82.23986
41.58641  -82.22369
41.58641  -82.20752
41.58641  -82.19135
41.58641  -82.17518
41.58641  -82.15901
41.58641  -82.14284
41.58641  -82.12667
41.58641  -82.1105
41.58641  -82.09433
41.58641  -82.07816
41.58641  -82.06199
41.58641  -82.04582
41.58641  -82.02965
41.58641  -82.01348
41.58641  -81.99732
41.58641  -81.98115
41.58641  -81.96498
41.58641  -81.94881
41.58641  -81.93264
41.58641  -81.91647
41.58641  -81.9003
41.58641  -81.88413
41.58641  -81.86796
41.58641  -81.85179
41.58641  -81.83562
41.58641  -81.81945
41.58641  -81.80328
41.58641  -81.78711
41.58641  -81.77094
41.58641  -81.75477
41.58641  -81.7386
41.58641  -81.72243
41.58641  -81.70626
41.58641  -81.69009
41.58641  -81.67392
41.58641  -81.65775
41.58641  -81.64158
41.58641  -81.62541
41.58641  -81.60924
41.58641  -81.59307
41.58641  -81.5769
41.58641  -81.56073
41.58641  -81.54456
41.59855  -83.08068
41.59855  -83.06452
41.59855  -83.04835
41.59855  -83.03218
41.59855  -83.01601
41.59855  -82.99984
41.59855  -82.98367
41.59855  -82.9675
41.59855  -82.95133
41.59855  -82.93516
41.59855  -82.91899
41.59855  -82.90282
41.59855  -82.88665
41.59855  -82.87048
41.59855  -82.85431
41.59855  -82.83814
41.59855  -82.82197
41.59855  -82.8058
41.59855  -82.78963
41.59855  -82.77346
41.59855  -82.75729
41.59855  -82.66027
41.59855  -82.6441
41.59855  -82.62793
41.59855  -82.61176
41.59855  -82.59559
41.59855  -82.57942
41.59855  -82.56325
41.59855  -82.54708
41.59855  -82.53092
41.59855  -82.51475
41.59855  -82.49858
41.59855  -82.48241
41.59855  -82.46624
41.59855  -82.45007
41.59855  -82.4339
41.59855  -82.41773
41.59855  -82.40156
41.59855  -82.38539
41.59855  -82.36922
41.59855  -82.35305
41.59855  -82.33688
41.59855  -82.32071
41.59855  -82.30454
41.59855  -82.28837
41.59855  -82.2722
41.59855  -82.25603
41.59855  -82.23986
41.59855  -82.22369
41.59855  -82.20752
41.59855  -82.19135
41.59855  -82.17518
41.59855  -82.15901
41.59855  -82.14284
41.59855  -82.12667
41.59855  -82.1105
41.59855  -82.09433
41.59855  -82.07816
41.59855  -82.06199
41.59855  -82.04582
41.59855  -82.02965
41.59855  -82.01348
41.59855  -81.99732
41.59855  -81.98115
41.59855  -81.96498
41.59855  -81.94881
41.59855  -81.93264
41.59855  -81.91647
41.59855  -81.9003
41.59855  -81.88413
41.59855  -81.86796
41.59855  -81.85179
41.59855  -81.83562
41.59855  -81.81945
41.59855  -81.80328
41.59855  -81.78711
41.59855  -81.77094
41.59855  -81.75477
41.59855  -81.7386
41.59855  -81.72243
41.59855  -81.70626
41.59855  -81.69009
41.59855  -81.67392
41.59855  -81.65775
41.59855  -81.64158
41.59855  -81.62541
